Sample    Real    Imaginary   Mod
754 261.221 235.825 351.923
755 297.717 203.446 360.591
756 329.169 164.318 367.903
757 354.259 119.355 373.825
758 371.866 69.7429 378.35
759 381.129 16.8861 381.503
760 381.484 -37.653 383.338
761 372.697 -92.2257 383.938
762 354.868 -145.172 383.413
763 328.426 -194.894 381.899
764 294.102 -239.926 379.553
765 252.887 -278.996 376.551
766 205.979 -311.069 373.084
767 154.721 -335.385 369.353
768 100.533 -351.468 365.564
769 44.8484 -359.133 361.922
770 -10.9527 -358.461 358.629
771 -65.5928 -349.775 355.872
772 -117.942 -333.592 353.827
773 -167.047 -310.577 352.651
774 -212.143 -281.488 352.478
775 -252.656 -247.127 353.421
776 -288.183 -208.287 355.575
777 -318.472 -165.719 359.009
778 -343.38 -120.1 363.777
779 -362.837 -72.0189 369.916
780 -376.804 -21.9765 377.445
781 -385.233 29.6026 386.369
782 -388.038 82.346 396.679
783 -385.07 135.9 408.347
784 -376.114 189.889 421.331
785 -360.891 243.875 435.566
786 -339.078 297.319 450.968
787 -310.34 349.545 467.432
788 -274.379 399.722 484.832
789 -230.98 446.852 503.019
790 -180.074 489.774 521.829
791 -121.79 527.195 541.08
792 -56.5081 557.724 560.579
793 15.1002 579.929 580.125
794 92.0424 592.406 599.514
795 172.996 593.859 618.543
796 256.316 583.173 637.016
797 340.068 559.506 654.747
798 422.076 522.354 671.566
799 499.99 471.619 687.324
800 571.376 407.658 701.894
801 633.809 331.304 715.176
802 684.978 243.877 727.098
803 722.792 147.16 737.621
804 745.477 43.3593 746.737
805 751.668 -64.9668 754.471
806 740.483 -174.989 760.878
807 711.572 -283.713 766.047
808 665.152 -388.088 770.091
809 602.011 -485.123 773.151
810 523.48 -572.008 775.387
811 431.394 -646.212 776.976
812 328.019 -705.586 778.105
813 215.966 -748.432 778.969
814 98.0897 -773.563 779.757
815 -22.6188 -780.329 780.657
816 -143.145 -768.626 781.842
817 -260.555 -738.875 783.47
818 -372.094 -691.982 785.681
819 -475.272 -629.278 788.59
820 -567.921 -552.446 792.294
821 -648.246 -463.436 796.867
822 -714.849 -364.381 802.361
823 -766.724 -257.509 808.812
824 -803.248 -145.069 816.243
